column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
TBK1.3400.49.2,numeric,Serine/threonine-protein kinase TBK1 (TBK1),3400-49,SL007747,Serine/threonine-protein kinase TBK1,TBK1,Q9UHD2,29110,TBK1,Human,Protein,PASS,106,0,0
PTPN2.3401.8.2,numeric,Tyrosine-protein phosphatase non-receptor type 2 (PTPN2),3401-8,SL005261,Tyrosine-protein phosphatase non-receptor type 2,TCPTP,P17706,5771,PTPN2,Human,Protein,PASS,99,0,0
TPSB2.3403.1.2,numeric,Tryptase beta-2 (TPSB2),3403-1,SL010617,Tryptase beta-2,TPSB2,P20231,64499,TPSB2,Human,Protein,PASS,149,0,0
TPSG1.3404.51.2,numeric,Tryptase gamma (TPSG1),3404-51,SL010619,Tryptase gamma,TPSG1,Q9NRR2,25823,TPSG1,Human,Protein,PASS,113,0,0
UFC1.3405.6.2,numeric,Ubiquitin-fold modifier-conjugating enzyme 1 (UFC1),3405-6,SL010529,Ubiquitin-fold modifier-conjugating enzyme 1,UFC1,Q9Y3C8,51506,UFC1,Human,Protein,PASS,150,0,0
BCL2.3412.7.1,numeric,Apoptosis regulator Bcl-2 (BCL2),3412-7,SL000104,Apoptosis regulator Bcl-2,Bcl-2,P10415,596,BCL2,Human,Protein,PASS,113,0,0
BCL2A1.3413.50.2,numeric,Bcl-2-related protein A1 (BCL2A1),3413-50,SL003703,Bcl-2-related protein A1,BFL1,Q16548,597,BCL2A1,Human,Protein,PASS,149,0,0
BMX.3414.40.2,numeric,Cytoplasmic tyrosine-protein kinase BMX (BMX),3414-40,SL006374,Cytoplasmic tyrosine-protein kinase BMX,BMX,P51813,660,BMX,Human,Protein,PASS,129,0,0
IBSP.3415.61.2,numeric,Bone sialoprotein 2 (IBSP),3415-61,SL004660,Bone sialoprotein 2,BSP,P21815,3381,IBSP,Human,Protein,PASS,144,0,0
CAMK1D.3418.12.2,numeric,Calcium/calmodulin-dependent protein kinase type 1D (CAMK1D),3418-12,SL010490,Calcium/calmodulin-dependent protein kinase type 1D,CAMK1D,Q8IU85,57118,CAMK1D,Human,Protein,PASS,129,0,0
CAMK2D.3419.49.2,numeric,Calcium/calmodulin-dependent protein kinase type II subunit delta (CAMK2D),3419-49,SL010493,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D,Q13557,817,CAMK2D,Human,Protein,PASS,138,0,0
CA13.3420.21.2,numeric,Carbonic anhydrase 13 (CA13),3420-21,SL004869,Carbonic anhydrase 13,Carbonic anhydrase XIII,Q8N1Q1,377677,CA13,Human,Protein,PASS,126,0,0
TNFSF8.3421.54.2,numeric,Tumor necrosis factor ligand superfamily member 8 (TNFSF8),3421-54,SL004635,Tumor necrosis factor ligand superfamily member 8,CD30 Ligand,P32971,944,TNFSF8,Human,Protein,PASS,152,0,0
CDC2.CCNB1.3422.4.2,numeric,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex (CDC2.CCNB1),3422-4,SL010494,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex,CDK1/cyclin B,P06493 P14635,983 891,CDC2.CCNB1,Human,Protein,PASS,125,0,0
CMA1.3423.59.2,numeric,Chymase (CMA1),3423-59,SL005250,Chymase,Chymase,P23946,1215,CMA1,Human,Protein,PASS,116,0,0
CSNK2A1.3427.63.2,numeric,Casein kinase II subunit alpha (CSNK2A1),3427-63,SL007324,Casein kinase II subunit alpha,CSK21,P68400,1457,CSNK2A1,Human,Protein,PASS,103,0,0
EPHA1.3431.54.2,numeric,Ephrin type-A receptor 1 (EPHA1),3431-54,SL004137,Ephrin type-A receptor 1,EphA1,P21709,2041,EPHA1,Human,Protein,PASS,134,0,0
EPHA3.3432.21.2,numeric,Ephrin type-A receptor 3 (EPHA3),3432-21,SL010498,Ephrin type-A receptor 3,EPHA3,P29320,2042,EPHA3,Human,Protein,PASS,122,0,0
FN1.3434.34.1,numeric,Fibronectin Fragment 3 (FN1),3434-34,SL010349,Fibronectin Fragment 3,FN1.3,P02751,2335,FN1,Human,Protein,PASS,152,0,0
FN1.3435.53.2,numeric,Fibronectin Fragment 4 (FN1),3435-53,SL010348,Fibronectin Fragment 4,FN1.4,P02751,2335,FN1,Human,Protein,PASS,152,0,0
FLT3.3437.80.3,numeric,Receptor-type tyrosine-protein kinase FLT3 (FLT3),3437-80,SL004636,Receptor-type tyrosine-protein kinase FLT3,Flt-3,P36888,2322,FLT3,Human,Protein,PASS,94,0,0
FSTL3.3438.10.2,numeric,Follistatin-related protein 3 (FSTL3),3438-10,SL009324,Follistatin-related protein 3,FSTL3,O95633,10272,FSTL3,Human,Protein,PASS,152,0,0
GZMA.3440.7.2,numeric,Granzyme A (GZMA),3440-7,SL004298,Granzyme A,granzyme A,P12544,3001,GZMA,Human,Protein,PASS,150,0,0
GSK3A.3441.64.2,numeric,Glycogen synthase kinase-3 alpha (GSK3A),3441-64,SL003723,Glycogen synthase kinase-3 alpha,GSK-3 alpha,P49840,2931,GSK3A,Human,Protein,PASS,131,0,0
IL15RA.3445.53.2,numeric,Interleukin-15 receptor subunit alpha (IL15RA),3445-53,SL004151,Interleukin-15 receptor subunit alpha,IL-15 Ra,Q13261,3601,IL15RA,Human,Protein,PASS,114,0,0
CXCL8.3447.64.2,numeric,Interleukin-8 (CXCL8),3447-64,SL000039,Interleukin-8,IL-8,P10145,3576,CXCL8,Human,Protein,PASS,152,0,0
INSR.3448.13.2,numeric,Insulin receptor (INSR),3448-13,SL004125,Insulin receptor,IR,P06213,3643,INSR,Human,Protein,PASS,150,0,0
SERPINA4.3449.58.2,numeric,Kallistatin (SERPINA4),3449-58,SL004876,Kallistatin,Kallistatin,P29622,5267,SERPINA4,Human,Protein,PASS,152,0,0
KLK6.3450.4.2,numeric,Kallikrein-6 (KLK6),3450-4,SL001797,Kallikrein-6,Kallikrein 6,Q92876,5653,KLK6,Human,Protein,PASS,126,0,0
LCK.3452.17.2,numeric,Tyrosine-protein kinase Lck (LCK),3452-17,SL006916,Tyrosine-protein kinase Lck,LCK,P06239,3932,LCK,Human,Protein,PASS,100,0,0
LYN.3453.87.2,numeric,Tyrosine-protein kinase Lyn (LYN),3453-87,SL006917,Tyrosine-protein kinase Lyn,LYN,P07948,4067,LYN,Human,Protein,PASS,137,0,0
POSTN.3457.57.1,numeric,Periostin (POSTN),3457-57,SL005084,Periostin,Periostin,Q15063,10631,POSTN,Human,Protein,PASS,148,0,0
PDGFRB.3459.49.2,numeric,Platelet-derived growth factor receptor beta (PDGFRB),3459-49,SL004155,Platelet-derived growth factor receptor beta,PDGF Rb,P09619,5159,PDGFRB,Human,Protein,PASS,148,0,0
BCAN.3461.58.1,numeric,Brevican core protein (BCAN),3461-58,SL009089,Brevican core protein,PGCB,Q96GW7,63827,BCAN,Human,Protein,PASS,152,0,0
PRKACA.3466.8.2,numeric,cAMP-dependent protein kinase catalytic subunit alpha (PRKACA),3466-8,SL010513,cAMP-dependent protein kinase catalytic subunit alpha,PRKACA,P17612,5566,PRKACA,Human,Protein,PASS,144,0,0
RPS6KA3.3469.74.1,numeric,Ribosomal protein S6 kinase alpha-3 (RPS6KA3),3469-74,SL010515,Ribosomal protein S6 kinase alpha-3,RPS6KA3,P51812,6197,RPS6KA3,Human,Protein,PASS,101,0,0
SELE.3470.1.2,numeric,E-selectin (SELE),3470-1,SL001945,E-selectin,sE-Selectin,P16581,6401,SELE,Human,Protein,PASS,151,0,0
STK16.3471.49.1,numeric,Serine/threonine-protein kinase 16 (STK16),3471-49,SL010517,Serine/threonine-protein kinase 16,STK16,O75716,8576,STK16,Human,Protein,PASS,118,0,0
BIRC5.3472.40.2,numeric,Baculoviral IAP repeat-containing protein 5 (BIRC5),3472-40,SL000582,Baculoviral IAP repeat-containing protein 5,Survivin,O15392,332,BIRC5,Human,Protein,PASS,125,0,0
MPL.3473.78.2,numeric,Thrombopoietin Receptor (MPL),3473-78,SL005224,Thrombopoietin Receptor,Thrombopoietin Receptor,P40238,4352,MPL,Human,Protein,PASS,100,0,0
THBS1.3474.19.2,numeric,Thrombospondin-1 (THBS1),3474-19,SL002705,Thrombospondin-1,Thrombospondin-1,P07996,7057,THBS1,Human,Protein,PASS,152,0,0
NTRK1.3477.63.2,numeric,High affinity nerve growth factor receptor (NTRK1),3477-63,SL005225,High affinity nerve growth factor receptor,TrkA,P04629,4914,NTRK1,Human,Protein,PASS,134,0,0
DUSP3.3480.7.1,numeric,Dual specificity protein phosphatase 3 (DUSP3),3480-7,SL008122,Dual specificity protein phosphatase 3,DUS3,P51452,1845,DUSP3,Human,Protein,PASS,113,0,0
XPNPEP1.3481.87.1,numeric,Xaa-Pro aminopeptidase 1 (XPNPEP1),3481-87,SL011073,Xaa-Pro aminopeptidase 1,XPNPEP1,Q9NQW7,7511,XPNPEP1,Human,Protein,PASS,146,0,0
AGT.3484.60.2,numeric,Angiotensinogen (AGT),3484-60,SL000271,Angiotensinogen,Angiotensinogen,P01019,183,AGT,Human,Protein,PASS,152,0,0
B2M.3485.28.2,numeric,Beta-2-microglobulin (B2M),3485-28,SL000283,Beta-2-microglobulin,b2-Microglobulin,P61769,567,B2M,Human,Protein,PASS,152,0,0
FGF1.3486.58.2,numeric,Fibroblast growth factor 1 (FGF1),3486-58,SL000299,Fibroblast growth factor 1,b-ECGF,P05230,2246,FGF1,Human,Protein,PASS,128,0,0
CXCL13.3487.32.2,numeric,C-X-C motif chemokine 13 (CXCL13),3487-32,SL003167,C-X-C motif chemokine 13,BLC,O43927,10563,CXCL13,Human,Protein,PASS,118,0,0
CAT.3488.64.2,numeric,Catalase (CAT),3488-64,SL000342,Catalase,Catalase,P04040,847,CAT,Human,Protein,PASS,152,0,0
CNTF.3489.9.2,numeric,Ciliary neurotrophic factor (CNTF),3489-9,SL004331,Ciliary neurotrophic factor,CNTF,P26441,1270,CNTF,Human,Protein,PASS,89,0,0
FGF17.3494.71.3,numeric,Fibroblast growth factor 17 (FGF17),3494-71,SL004335,Fibroblast growth factor 17,FGF-17,O60258,8822,FGF17,Human,Protein,PASS,116,0,0
CXCL6.3495.15.2,numeric,C-X-C motif chemokine 6 (CXCL6),3495-15,SL003172,C-X-C motif chemokine 6,GCP-2,P80162,6372,CXCL6,Human,Protein,PASS,135,0,0
IFNA2.3497.13.2,numeric,Interferon alpha-2 (IFNA2),3497-13,SL002075,Interferon alpha-2,IFN-aA,P01563,3440,IFNA2,Human,Protein,PASS,59,0,0
IL17B.3499.77.2,numeric,Interleukin-17B (IL17B),3499-77,SL004350,Interleukin-17B,IL-17B,Q9UHF5,27190,IL17B,Human,Protein,PASS,149,0,0
ITGA1.ITGB1.3503.4.2,numeric,Integrin alpha-I: beta-1 complex (ITGA1.ITGB1),3503-4,SL003179,Integrin alpha-I: beta-1 complex,Integrin a1b1,"P56199, P05556",3672 3688,ITGA1.ITGB1,Human,Protein,PASS,151,0,0
HAMP.3504.58.2,numeric,Hepcidin (HAMP),3504-58,SL004536,Hepcidin,LEAP-1,P81172,57817,HAMP,Human,Protein,PASS,152,0,0
LTA.LTB.3505.6.2,numeric,Lymphotoxin alpha1:beta2 (LTA.LTB),3505-6,SL000507,Lymphotoxin alpha1:beta2,Lymphotoxin a1/b2,"P01374, Q06643",4049 4050,LTA.LTB,Human,Protein,PASS,97,0,0
LTA.LTB.3506.49.1,numeric,Lymphotoxin alpha2:beta1 (LTA.LTB),3506-49,SL000508,Lymphotoxin alpha2:beta1,Lymphotoxin a2/b1,"P01374, Q06643",4049 4050,LTA.LTB,Human,Protein,PASS,125,0,0
mdh.3507.1.2,numeric,Malic dehydrogenase_THETH (mdh),3507-1,SL002748,Malic dehydrogenase_THETH,MDH_THETH,P10584,"",mdh,Thermus thermophilus,Non-Human,PASS,81,0,0
CCL22.3508.78.3,numeric,C-C motif chemokine 22 (CCL22),3508-78,SL003187,C-C motif chemokine 22,MDC,O00626,6367,CCL22,Human,Protein,PASS,144,0,0
X.3512.72.2,numeric,Adenylate kinase_GEOSE (),3512-72,SL002749,Adenylate kinase_GEOSE,KAD_GEOSE,P27142,"","",Geobacillus stearothermophilus (Bacillus stearothermophilus),Non-Human,PASS,103,0,0
CXCL12.3516.60.2,numeric,Stromal cell-derived factor 1 (CXCL12),3516-60,SL004712,Stromal cell-derived factor 1,SDF-1,P48061,6387,CXCL12,Human,Protein,PASS,152,0,0
CPB2.3518.54.2,numeric,Carboxypeptidase B2 (CPB2),3518-54,SL004015,Carboxypeptidase B2,TAFI,Q96IY4,1361,CPB2,Human,Protein,PASS,152,0,0
CCL17.3519.3.2,numeric,C-C motif chemokine 17 (CCL17),3519-3,SL003196,C-C motif chemokine 17,TARC,Q92583,6361,CCL17,Human,Protein,PASS,109,0,0
TGFB3.3520.58.1,numeric,Transforming growth factor beta-3 (TGFB3),3520-58,SL000089,Transforming growth factor beta-3,TGF-b3,P10600,7043,TGFB3,Human,Protein,PASS,80,0,0
CGA.TSHB.3521.16.2,numeric,Thyroid Stimulating Hormone (CGA.TSHB),3521-16,SL000589,Thyroid Stimulating Hormone,TSH,P01215 P01222,1081 12372,CGA.TSHB,Human,Protein,PASS,105,0,0
VIP.3522.57.1,numeric,Vasoactive Intestinal Peptide (VIP),3522-57,SL000615,Vasoactive Intestinal Peptide,Vasoactive Intestinal Peptide,P01282,7432,VIP,Human,Protein,PASS,99,0,0
X.3525.1.1,numeric,No protein (),3525-1,SL011608,No protein,No Protein,"","","",Human,Non-Biotin,PASS,35,0,0
X.3525.2.1,numeric,No protein (),3525-2,SL011608,No protein,No Protein,"","","",Human,Non-Biotin,PASS,28,0,0
X.3525.3.1,numeric,No protein (),3525-3,SL011608,No protein,No Protein,"","","",Human,Non-Biotin,PASS,21,0,0
X.3525.4.1,numeric,No protein (),3525-4,SL011608,No protein,No Protein,"","","",Human,Non-Biotin,PASS,20,0,0
CD40LG.3534.14.2,numeric,CD40 ligand (CD40LG),3534-14,SL003862,CD40 ligand,"CD40 ligand, soluble",P29965,959,CD40LG,Human,Protein,PASS,99,0,0
DKK1.3535.84.1,numeric,Dickkopf-related protein 1 (DKK1),3535-84,SL004367,Dickkopf-related protein 1,DKK1,O94907,22943,DKK1,Human,Protein,PASS,143,0,0
DDC.3538.26.1,numeric,Aromatic-L-amino-acid decarboxylase (DDC),3538-26,SL009216,Aromatic-L-amino-acid decarboxylase,dopa decarboxylase,P20711,1644,DDC,Human,Protein,PASS,119,0,0
ADIPOQ.3554.24.1,numeric,Adiponectin (ADIPOQ),3554-24,SL004258,Adiponectin,Adiponectin,Q15848,9370,ADIPOQ,Human,Protein,PASS,152,0,0
SERPINA1.3580.25.5,numeric,Alpha-1-antitrypsin (SERPINA1),3580-25,SL000249,Alpha-1-antitrypsin,a1-Antitrypsin,P01009,5265,SERPINA1,Human,Protein,PASS,151,0,0
AHSG.3581.53.3,numeric,Alpha-2-HS-glycoprotein (AHSG),3581-53,SL000251,Alpha-2-HS-glycoprotein,a2-HS-Glycoprotein,P02765,197,AHSG,Human,Protein,PASS,151,0,0
ARSA.3583.54.6,numeric,Arylsulfatase A (ARSA),3583-54,SL005392,Arylsulfatase A,Arylsulfatase A,P15289,410,ARSA,Human,Protein,PASS,147,0,0
BSG.3585.54.4,numeric,Basigin (BSG),3585-54,SL009341,Basigin,BASI,P35613,682,BSG,Human,Protein,PASS,150,0,0
BMP10.3587.53.2,numeric,Bone morphogenetic protein 10 (BMP10),3587-53,SL007056,Bone morphogenetic protein 10,BMP10,O95393,27302,BMP10,Human,Protein,PASS,132,0,0
CAMK1.3592.4.3,numeric,Calcium/calmodulin-dependent protein kinase type 1 (CAMK1),3592-4,SL010489,Calcium/calmodulin-dependent protein kinase type 1,CAMK1,Q14012,8536,CAMK1,Human,Protein,PASS,151,0,0
CASP3.3593.72.3,numeric,Caspase-3 (CASP3),3593-72,SL003711,Caspase-3,Caspase-3,P42574,836,CASP3,Human,Protein,PASS,137,0,0
CHIT1.3600.2.3,numeric,Chitotriosidase-1 (CHIT1),3600-2,SL006029,Chitotriosidase-1,Chitotriosidase-1,Q13231,1118,CHIT1,Human,Protein,PASS,152,0,0
CLEC7A.3603.60.4,numeric,C-type lectin domain family 7 member A (CLEC7A),3603-60,SL007640,C-type lectin domain family 7 member A,CLC7A,Q9BXN2,64581,CLEC7A,Human,Protein,PASS,137,0,0
MASP1.3605.77.4,numeric,,,,,,,,,,,,142,0,0
DKK3.3607.71.1,numeric,Dickkopf-related protein 3 (DKK3),3607-71,SL009412,Dickkopf-related protein 3,DKK3,Q9UBP4,27122,DKK3,Human,Protein,PASS,152,0,0
GNS.3616.3.5,numeric,N-acetylglucosamine-6-sulfatase (GNS),3616-3,SL008504,N-acetylglucosamine-6-sulfatase,GNS,P15586,2799,GNS,Human,Protein,PASS,152,0,0
HGFAC.3617.80.4,numeric,Hepatocyte growth factor activator (HGFAC),3617-80,SL006512,Hepatocyte growth factor activator,HGFA,Q04756,3083,HGFAC,Human,Protein,PASS,152,0,0
IL22RA1.3620.67.1,numeric,,,,,,,,,,,,140,0,0
LGMN.3622.33.4,numeric,Legumain (LGMN),3622-33,SL008909,Legumain,LGMN,Q99538,5641,LGMN,Human,Protein,PASS,152,0,0
LY86.3623.84.4,numeric,Lymphocyte antigen 86 (LY86),3623-84,SL007059,Lymphocyte antigen 86,LY86,O95711,9450,LY86,Human,Protein,PASS,151,0,0
MMEL1.3627.71.4,numeric,,,,,,,,,,,,148,0,0
MAP2K2.3628.3.4,numeric,,,,,,,,,,,,138,0,0
CDC42BPB.3629.60.4,numeric,,,,,,,,,,,,147,0,0
CADM3.3630.27.4,numeric,Cell adhesion molecule 3 (CADM3),3630-27,SL004804,Cell adhesion molecule 3,Nectin-like protein 1,Q8N126,57863,CADM3,Human,Protein,PASS,152,0,0
LRPAP1.3640.14.3,numeric,alpha-2-macroglobulin receptor-associated protein (LRPAP1),3640-14,SL005263,alpha-2-macroglobulin receptor-associated protein,RAP,P30533,4043,LRPAP1,Human,Protein,PASS,147,0,0
TLR4.LY96.3647.49.4,numeric,Toll-like receptor 4:Lymphocyte antigen 96 complex (TLR4.LY96),3647-49,SL018625,Toll-like receptor 4:Lymphocyte antigen 96 complex,TLR4:MD-2 complex,O00206  Q9Y6Y9,7099 23643,TLR4.LY96,Human,Protein,PASS,146,0,0
GFP.3650.8.3,numeric,,,,,,,,,,,,150,0,0
KDR.3651.50.5,numeric,Vascular endothelial growth factor receptor 2 (KDR),3651-50,SL003201,Vascular endothelial growth factor receptor 2,VEGF sR2,P35968,3791,KDR,Human,Protein,PASS,152,0,0
MFRP.3685.53.1,numeric,Membrane frizzled-related protein (MFRP),3685-53,SL010466,Membrane frizzled-related protein,MFRP,Q9BY79,83552,MFRP,Human,Protein,PASS,147,0,0
A2M.3708.62.1,numeric,Alpha-2-macroglobulin (A2M),3708-62,SL000252,Alpha-2-macroglobulin,a2-Macroglobulin,P01023,2,A2M,Human,Protein,PASS,152,0,0
PLG.3710.49.2,numeric,Angiostatin (PLG),3710-49,SL000268,Angiostatin,Angiostatin,P00747,5340,PLG,Human,Protein,PASS,150,0,0
CKB.CKM.3714.49.2,numeric,Creatine kinase M-type:Creatine kinase B-type heterodimer (CKB.CKM),3714-49,SL000382,Creatine kinase M-type:Creatine kinase B-type heterodimer,CK-MB,P12277 P06732,1152 1158,CKB.CKM,Human,Protein,PASS,151,0,0
X.3717.23.2,numeric,Luciferin 4-monooxygenase_PHOPY (),3717-23,SL002746,Luciferin 4-monooxygenase_PHOPY,LUCI_PHOPY,P08659,"","",Photinus pyralis (North American firefly),Non-Human,PASS,138,0,0
CDKN1B.3719.2.2,numeric,Cyclin-dependent kinase inhibitor 1B (CDKN1B),3719-2,SL000076,Cyclin-dependent kinase inhibitor 1B,p27Kip1,P46527,1027,CDKN1B,Human,Protein,PASS,111,0,0
nodH.3721.5.2,numeric,Nodulation protein H_NOH4 (nodH),3721-5,SL004319,Nodulation protein H_NOH4,NOH4_RHIML,P06237,"",nodH,Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti),Non-Human,PASS,135,0,0
NPPB.3723.1.2,numeric,Brain natriuretic peptide 32 (NPPB),3723-1,SL000306,Brain natriuretic peptide 32,BNP-32,P16860,4879,NPPB,Human,Protein,PASS,128,0,0
X.3724.64.1,numeric,Exendin-4_HELSU (),3724-64,SL011500,Exendin-4_HELSU,EXE4_HELSU,P26349,"","",Heloderma suspectum (Gila monster),Non-Human,PASS,87,0,0
PYY.3727.35.1,numeric,Peptide YY (PYY),3727-35,SL011509,Peptide YY,PYY,P10082,5697,PYY,Human,Protein,PASS,122,0,0
SCT.3728.52.2,numeric,Secretin (SCT),3728-52,SL000570,Secretin,Secretin,P09683,6343,SCT,Human,Protein,PASS,107,0,0
TNFRSF4.3730.81.2,numeric,Tumor necrosis factor receptor superfamily member 4 (TNFRSF4),3730-81,SL011448,Tumor necrosis factor receptor superfamily member 4,TNR4,P43489,7293,TNFRSF4,Human,Protein,PASS,129,0,0
CSF1.3738.54.1,numeric,Macrophage colony-stimulating factor 1 (CSF1),3738-54,SL002684,Macrophage colony-stimulating factor 1,CSF-1,P09603,1435,CSF1,Human,Protein,PASS,151,0,0
X.3742.78.3,numeric,Nigrin b_SAMNI (),3742-78,SL011129,Nigrin b_SAMNI,NIGB_SAMNI,P33183,"","",Sambucus nigra (European elder),Non-Human,PASS,111,0,0
PROC.3758.68.3,numeric,Activated Protein C (PROC),3758-68,SL003974,Activated Protein C,Activated Protein C,P04070,5624,PROC,Human,Protein,PASS,139,0,0
PTGS2.3761.4.2,numeric,Prostaglandin G/H synthase 2 (PTGS2),3761-4,SL000027,Prostaglandin G/H synthase 2,COX-2,P35354,5743,PTGS2,Human,Protein,PASS,119,0,0
TEK.3773.15.4,numeric,"Angiopoietin-1 receptor, soluble (TEK)",3773-15,SL003200,"Angiopoietin-1 receptor, soluble",sTie-2,Q02763,7010,TEK,Human,Protein,PASS,105,0,0
ADAM9.3795.6.2,numeric,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9),3795-6,SL004642,Disintegrin and metalloproteinase domain-containing protein 9,ADAM 9,Q13443,8754,ADAM9,Human,Protein,PASS,151,0,0
ANGPTL4.3796.79.2,numeric,Angiopoietin-related protein 4 (ANGPTL4),3796-79,SL007642,Angiopoietin-related protein 4,ANGL4,Q9BY76,51129,ANGPTL4,Human,Protein,PASS,140,0,0
CDH2.3797.1.1,numeric,,,,,,,,,,,,146,0,0
CA9.3798.71.1,numeric,Carbonic anhydrase 9 (CA9),3798-71,SL005508,Carbonic anhydrase 9,Carbonic anhydrase 9,Q16790,768,CA9,Human,Protein,PASS,116,0,0
CA3.3799.11.2,numeric,Carbonic anhydrase 3 (CA3),3799-11,SL004867,Carbonic anhydrase 3,Carbonic anhydrase III,P07451,761,CA3,Human,Protein,PASS,151,0,0
CKB.3800.71.2,numeric,Creatine kinase B-type (CKB),3800-71,SL000377,Creatine kinase B-type,CK-BB,P12277,1152,CKB,Human,Protein,PASS,133,0,0
CST5.3803.10.2,numeric,Cystatin-D (CST5),3803-10,SL008382,Cystatin-D,CYTD,P28325,1473,CST5,Human,Protein,PASS,148,0,0
ESM1.3805.16.2,numeric,Endothelial cell-specific molecule 1 (ESM1),3805-16,SL010458,Endothelial cell-specific molecule 1,Endocan,Q9NQ30,11082,ESM1,Human,Protein,PASS,150,0,0
EPHA5.3806.55.1,numeric,Ephrin type-A receptor 5 (EPHA5),3806-55,SL004844,Ephrin type-A receptor 5,EphA5,P54756,2044,EPHA5,Human,Protein,PASS,152,0,0
FGF23.3807.1.2,numeric,Fibroblast growth factor 23 (FGF23),3807-1,SL007651,Fibroblast growth factor 23,FGF23,Q9GZV9,8074,FGF23,Human,Protein,PASS,128,0,0
FGFR2.3808.76.2,numeric,Fibroblast growth factor receptor 2 (FGFR2),3808-76,SL003990,Fibroblast growth factor receptor 2,FGFR-2,P21802,2263,FGFR2,Human,Protein,PASS,127,0,0
FGFR3.3809.1.2,numeric,Fibroblast growth factor receptor 3 (FGFR3),3809-1,SL004063,Fibroblast growth factor receptor 3,FGFR-3,P22607,2261,FGFR3,Human,Protein,PASS,129,0,0
FGR.3810.50.2,numeric,Tyrosine-protein kinase Fgr (FGR),3810-50,SL006912,Tyrosine-protein kinase Fgr,FGR,P09769,2268,FGR,Human,Protein,PASS,74,0,0
FYN.3813.3.2,numeric,Tyrosine-protein kinase Fyn (FYN),3813-3,SL006913,Tyrosine-protein kinase Fyn,FYN,P06241,2534,FYN,Human,Protein,PASS,128,0,0
IL12RB2.3815.14.1,numeric,Interleukin-12 receptor subunit beta-2 (IL12RB2),3815-14,SL007620,Interleukin-12 receptor subunit beta-2,IL-12 RB2,Q99665,3595,IL12RB2,Human,Protein,PASS,116,0,0
PRKCQ.3817.18.1,numeric,,,,,,,,,,,,141,0,0
MAPKAPK2.3820.68.2,numeric,MAP kinase-activated protein kinase 2 (MAPKAPK2),3820-68,SL010503,MAP kinase-activated protein kinase 2,MAPK2,P49137,9261,MAPKAPK2,Human,Protein,PASS,112,0,0
MAPKAPK5.3821.28.1,numeric,MAP kinase-activated protein kinase 5 (MAPKAPK5),3821-28,SL010504,MAP kinase-activated protein kinase 5,MAPK5,Q8IW41,8550,MAPKAPK5,Human,Protein,PASS,110,0,0
MAPKAPK3.3822.54.2,numeric,MAP kinase-activated protein kinase 3 (MAPKAPK3),3822-54,SL004765,MAP kinase-activated protein kinase 3,MAPKAPK3,Q16644,7867,MAPKAPK3,Human,Protein,PASS,124,0,0
MATK.3823.9.1,numeric,Megakaryocyte-associated tyrosine-protein kinase (MATK),3823-9,SL010505,Megakaryocyte-associated tyrosine-protein kinase,MATK,P42679,4145,MATK,Human,Protein,PASS,119,0,0
MAPK8.3825.18.2,numeric,Mitogen-activated protein kinase 8 (MAPK8),3825-18,SL010502,Mitogen-activated protein kinase 8,MK08,P45983,5599,MAPK8,Human,Protein,PASS,110,0,0
PAK6.3827.22.1,numeric,Serine/threonine-protein kinase PAK 6 (PAK6),3827-22,SL010509,Serine/threonine-protein kinase PAK 6,PAK6,Q9NQU5,56924,PAK6,Human,Protein,PASS,150,0,0
PTEN.3831.21.1,numeric,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (PTEN)",3831-21,SL003761,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",pTEN,P60484,5728,PTEN,Human,Protein,PASS,111,0,0
PTK6.3832.51.1,numeric,Protein-tyrosine kinase 6 (PTK6),3832-51,SL010514,Protein-tyrosine kinase 6,PTK6,Q13882,5753,PTK6,Human,Protein,PASS,101,0,0
TLR2.3835.11.2,numeric,Toll-like receptor 2 (TLR2),3835-11,SL004492,Toll-like receptor 2,TLR2,O60603,7097,TLR2,Human,Protein,PASS,128,0,0
UFM1.3836.51.2,numeric,Ubiquitin-fold modifier 1 (UFM1),3836-51,SL010528,Ubiquitin-fold modifier 1,UFM1,P61960,51569,UFM1,Human,Protein,PASS,142,0,0
ZAP70.3837.6.2,numeric,,,,,,,,,,,,149,0,0
AIP.3839.60.2,numeric,AH receptor-interacting protein (AIP),3839-60,SL011629,AH receptor-interacting protein,AIP,O00170,9049,AIP,Human,Protein,PASS,129,0,0
PPIA.3844.2.1,numeric,Peptidyl-prolyl cis-trans isomerase A (PPIA),3844-2,SL004823,Peptidyl-prolyl cis-trans isomerase A,Cyclophilin A,P62937,5478,PPIA,Human,Protein,PASS,152,0,0
