column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
X.10516.53.3,numeric,Fc_MOUSE (),10516-53,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,73,0,0
X.10518.14.3,numeric,Fc_MOUSE (),10518-14,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,71,0,0
MXRA8.10521.10.3,numeric,Matrix-remodeling-associated protein 8 (MXRA8),10521-10,SL017989,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,54587,MXRA8,Human,Protein,PASS,152,0,0
X.10522.167.3,numeric,,,,,,,,,,,,150,0,0
DHX9.10527.22.3,numeric,,,,,,,,,,,,116,0,0
X.10529.19.3,numeric,Fc_MOUSE (),10529-19,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,131,0,0
PSMB6.10530.8.3,numeric,Proteasome subunit beta type-6 (PSMB6),10530-8,SL016414,Proteasome subunit beta type-6,PSB6,P28072,5694,PSMB6,Human,Protein,PASS,109,0,0
NRAS.10531.18.3,numeric,GTPase NRas (NRAS),10531-18,SL010845,GTPase NRas,RASN,P01111,4893,NRAS,Human,Protein,PASS,124,0,0
X.10533.1.3,numeric,Fc_MOUSE (),10533-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,78,0,0
PARP1.10534.40.3,numeric,Poly [ADP-ribose] polymerase 1 (PARP1),10534-40,SL003527,Poly [ADP-ribose] polymerase 1,PARP,P09874,142,PARP1,Human,Protein,PASS,122,0,0
COX6A2.10535.25.3,numeric,,,,,,,,,,,,126,0,0
CD99L2.10539.30.3,numeric,CD99 antigen-like protein 2 (CD99L2),10539-30,SL014293,CD99 antigen-like protein 2,C99L2,Q8TCZ2,83692,CD99L2,Human,Protein,PASS,125,0,0
TSPEAR.10546.2.3,numeric,,,,,,,,,,,,136,0,0
X.10547.42.3,numeric,Fc_MOUSE (),10547-42,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,112,0,0
X.10548.35.3,numeric,Fc_MOUSE (),10548-35,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,106,0,0
BMPR1B.10550.37.3,numeric,Bone morphogenetic protein receptor type-1B (BMPR1B),10550-37,SL004132,Bone morphogenetic protein receptor type-1B,BMP RIB,O00238,658,BMPR1B,Human,Protein,PASS,124,0,0
LAT.10551.7.3,numeric,,,,,,,,,,,,140,0,0
KLRC4.10552.88.3,numeric,NKG2-F type II integral membrane protein (KLRC4),10552-88,SL017983,NKG2-F type II integral membrane protein,NKG2F,O43908,8302,KLRC4,Human,Protein,PASS,111,0,0
TOR1AIP2.10553.8.3,numeric,Torsin-1A-interacting protein 2 (TOR1AIP2),10553-8,SL017988,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,163590,TOR1AIP2,Human,Protein,PASS,141,0,0
GLB1.10554.23.3,numeric,Beta-galactosidase (GLB1),10554-23,SL009072,Beta-galactosidase,BGAL,P16278,2720,GLB1,Human,Protein,PASS,65,0,0
TEX29.10557.6.3,numeric,Testis-expressed sequence 29 protein (TEX29),10557-6,SL018003,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,121793,TEX29,Human,Protein,PASS,147,0,0
PCDH9.10558.26.3,numeric,Protocadherin-9 (PCDH9),10558-26,SL008436,Protocadherin-9,PCDH9,Q9HC56,5101,PCDH9,Human,Protein,PASS,152,0,0
ITM2C.10560.1.3,numeric,Integral membrane protein 2C (ITM2C),10560-1,SL017978,Integral membrane protein 2C,ITM2C,Q9NQX7,81618,ITM2C,Human,Protein,PASS,91,0,0
PGLYRP3.10561.5.3,numeric,Peptidoglycan recognition protein 3 (PGLYRP3),10561-5,SL004512,Peptidoglycan recognition protein 3,PGRP-I-alpha,Q96LB9,114771,PGLYRP3,Human,Protein,PASS,118,0,0
NETO2.10562.42.3,numeric,Neuropilin and tolloid-like protein 2 (NETO2),10562-42,SL015086,Neuropilin and tolloid-like protein 2,NETO2,Q8NC67,81831,NETO2,Human,Protein,PASS,151,0,0
LYSMD3.10563.13.3,numeric,LysM and putative peptidoglycan-binding domain-containing protein 3 (LYSMD3),10563-13,SL018021,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3,Q7Z3D4,116068,LYSMD3,Human,Protein,PASS,91,0,0
SLITRK3.10565.19.3,numeric,SLIT and NTRK-like protein 3 (SLITRK3),10565-19,SL017951,SLIT and NTRK-like protein 3,SLIK3,O94933,22865,SLITRK3,Human,Protein,PASS,152,0,0
MFAP2.10569.28.3,numeric,Microfibrillar-associated protein 2 (MFAP2),10569-28,SL012443,Microfibrillar-associated protein 2,MFAP2,P55001,4237,MFAP2,Human,Protein,PASS,152,0,0
MGAT1.10571.14.3,numeric,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (MGAT1)",10571-14,SL018096,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,4245,MGAT1,Human,Protein,PASS,121,0,0
CST8.10572.65.3,numeric,Cystatin-8 (CST8),10572-65,SL012372,Cystatin-8,CST8,O60676,10047,CST8,Human,Protein,PASS,152,0,0
B2M.10574.10.3,numeric,Beta-2-microglobulin (B2M),10574-10,SL000283,Beta-2-microglobulin,b2-Microglobulin,P61769,567,B2M,Human,Protein,PASS,144,0,0
PUF60.10575.31.3,numeric,Poly(U)-binding-splicing factor PUF60 (PUF60),10575-31,SL018139,Poly(U)-binding-splicing factor PUF60,PUF60,Q9UHX1,22827,PUF60,Human,Protein,PASS,148,0,0
SFTA2.10580.14.3,numeric,,,,,,,,,,,,116,0,0
POMK.10582.36.3,numeric,Protein O-mannose kinase (POMK),10582-36,SL018286,Protein O-mannose kinase,SG196,Q9H5K3,84197,POMK,Human,Protein,PASS,139,0,0
TMEM108.10583.1.3,numeric,Transmembrane protein 108 (TMEM108),10583-1,SL018282,Transmembrane protein 108,TM108,Q6UXF1,66000,TMEM108,Human,Protein,PASS,90,0,0
NDUFS4.10584.7.3,numeric,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (NDUFS4)",10584-7,SL018289,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUS4,O43181,4724,NDUFS4,Human,Protein,PASS,123,0,0
ST3GAL5.10588.39.3,numeric,"Lactosylceramide alpha-2,3-sialyltransferase (ST3GAL5)",10588-39,SL011395,"Lactosylceramide alpha-2,3-sialyltransferase",SIAT9,Q9UNP4,8869,ST3GAL5,Human,Protein,PASS,97,0,0
