column,type,description,n_unique,n_missing,pct_missing
AC004069.1_CD14_Monocyte,numeric,Expression level of gene AC004069.1 in cell type: CD14_Monocyte,48,0,0
AC004079.1_CD14_Monocyte,numeric,Expression level of gene AC004079.1 in cell type: CD14_Monocyte,124,0,0
AC004079.3_CD14_Monocyte,numeric,Expression level of gene AC004079.3 in cell type: CD14_Monocyte,23,0,0
AC004079.5_CD14_Monocyte,numeric,Expression level of gene AC004079.5 in cell type: CD14_Monocyte,151,0,0
AC004112.1_CD14_Monocyte,numeric,Expression level of gene AC004112.1 in cell type: CD14_Monocyte,8,0,0
AC004129.1_CD14_Monocyte,numeric,Expression level of gene AC004129.1 in cell type: CD14_Monocyte,12,0,0
AC004148.1_CD14_Monocyte,numeric,Expression level of gene AC004148.1 in cell type: CD14_Monocyte,124,0,0
AC004223.3_CD14_Monocyte,numeric,Expression level of gene AC004223.3 in cell type: CD14_Monocyte,26,0,0
AC004224.1_CD14_Monocyte,numeric,Expression level of gene AC004224.1 in cell type: CD14_Monocyte,29,0,0
AC004224.2_CD14_Monocyte,numeric,Expression level of gene AC004224.2 in cell type: CD14_Monocyte,16,0,0
AC004241.1_CD14_Monocyte,numeric,Expression level of gene AC004241.1 in cell type: CD14_Monocyte,33,0,0
AC004241.3_CD14_Monocyte,numeric,Expression level of gene AC004241.3 in cell type: CD14_Monocyte,26,0,0
AC004263.2_CD14_Monocyte,numeric,Expression level of gene AC004263.2 in cell type: CD14_Monocyte,43,0,0
AC004386.1_CD14_Monocyte,numeric,Expression level of gene AC004386.1 in cell type: CD14_Monocyte,139,0,0
AC004448.2_CD14_Monocyte,numeric,Expression level of gene AC004448.2 in cell type: CD14_Monocyte,14,0,0
AC004453.1_CD14_Monocyte,numeric,Expression level of gene AC004453.1 in cell type: CD14_Monocyte,246,0,0
AC004494.1_CD14_Monocyte,numeric,Expression level of gene AC004494.1 in cell type: CD14_Monocyte,9,0,0
AC004528.2_CD14_Monocyte,numeric,Expression level of gene AC004528.2 in cell type: CD14_Monocyte,13,0,0
AC004542.2_CD14_Monocyte,numeric,Expression level of gene AC004542.2 in cell type: CD14_Monocyte,4,0,0
AC004542.5_CD14_Monocyte,numeric,Expression level of gene AC004542.5 in cell type: CD14_Monocyte,9,0,0
AC004551.1_CD14_Monocyte,numeric,Expression level of gene AC004551.1 in cell type: CD14_Monocyte,11,0,0
AC004552.1_CD14_Monocyte,numeric,Expression level of gene AC004552.1 in cell type: CD14_Monocyte,26,0,0
AC004585.1_CD14_Monocyte,numeric,Expression level of gene AC004585.1 in cell type: CD14_Monocyte,14,0,0
AC004593.3_CD14_Monocyte,numeric,Expression level of gene AC004593.3 in cell type: CD14_Monocyte,121,0,0
AC004596.1_CD14_Monocyte,numeric,Expression level of gene AC004596.1 in cell type: CD14_Monocyte,49,0,0
AC004687.1_CD14_Monocyte,numeric,Expression level of gene AC004687.1 in cell type: CD14_Monocyte,173,0,0
AC004687.2_CD14_Monocyte,numeric,Expression level of gene AC004687.2 in cell type: CD14_Monocyte,219,0,0
AC004702.1_CD14_Monocyte,numeric,Expression level of gene AC004702.1 in cell type: CD14_Monocyte,41,0,0
AC004706.3_CD14_Monocyte,numeric,Expression level of gene AC004706.3 in cell type: CD14_Monocyte,4,0,0
AC004765.1_CD14_Monocyte,numeric,Expression level of gene AC004765.1 in cell type: CD14_Monocyte,3,0,0
AC004771.1_CD14_Monocyte,numeric,Expression level of gene AC004771.1 in cell type: CD14_Monocyte,6,0,0
AC004771.3_CD14_Monocyte,numeric,Expression level of gene AC004771.3 in cell type: CD14_Monocyte,2,0,0
AC004771.4_CD14_Monocyte,numeric,Expression level of gene AC004771.4 in cell type: CD14_Monocyte,11,0,0
AC004797.1_CD14_Monocyte,numeric,Expression level of gene AC004797.1 in cell type: CD14_Monocyte,43,0,0
AC004805.1_CD14_Monocyte,numeric,Expression level of gene AC004805.1 in cell type: CD14_Monocyte,5,0,0
AC004812.2_CD14_Monocyte,numeric,Expression level of gene AC004812.2 in cell type: CD14_Monocyte,24,0,0
AC004825.2_CD14_Monocyte,numeric,Expression level of gene AC004825.2 in cell type: CD14_Monocyte,5,0,0
AC004825.3_CD14_Monocyte,numeric,Expression level of gene AC004825.3 in cell type: CD14_Monocyte,4,0,0
AC004832.3_CD14_Monocyte,numeric,Expression level of gene AC004832.3 in cell type: CD14_Monocyte,88,0,0
AC004832.6_CD14_Monocyte,numeric,Expression level of gene AC004832.6 in cell type: CD14_Monocyte,8,0,0
AC004846.2_CD14_Monocyte,numeric,Expression level of gene AC004846.2 in cell type: CD14_Monocyte,10,0,0
AC004847.1_CD14_Monocyte,numeric,Expression level of gene AC004847.1 in cell type: CD14_Monocyte,62,0,0
AC004865.2_CD14_Monocyte,numeric,Expression level of gene AC004865.2 in cell type: CD14_Monocyte,43,0,0
AC004877.2_CD14_Monocyte,numeric,Expression level of gene AC004877.2 in cell type: CD14_Monocyte,6,0,0
AC004884.1_CD14_Monocyte,numeric,Expression level of gene AC004884.1 in cell type: CD14_Monocyte,55,0,0
AC004889.1_CD14_Monocyte,numeric,Expression level of gene AC004889.1 in cell type: CD14_Monocyte,5,0,0
AC004890.2_CD14_Monocyte,numeric,Expression level of gene AC004890.2 in cell type: CD14_Monocyte,40,0,0
AC004898.1_CD14_Monocyte,numeric,Expression level of gene AC004898.1 in cell type: CD14_Monocyte,7,0,0
AC004906.1_CD14_Monocyte,numeric,Expression level of gene AC004906.1 in cell type: CD14_Monocyte,6,0,0
AC004908.2_CD14_Monocyte,numeric,Expression level of gene AC004908.2 in cell type: CD14_Monocyte,17,0,0
AC004908.3_CD14_Monocyte,numeric,Expression level of gene AC004908.3 in cell type: CD14_Monocyte,2,0,0
AC004910.1_CD14_Monocyte,numeric,Expression level of gene AC004910.1 in cell type: CD14_Monocyte,6,0,0
AC004918.1_CD14_Monocyte,numeric,Expression level of gene AC004918.1 in cell type: CD14_Monocyte,26,0,0
AC004922.1_CD14_Monocyte,numeric,Expression level of gene AC004922.1 in cell type: CD14_Monocyte,333,0,0
AC004938.2_CD14_Monocyte,numeric,Expression level of gene AC004938.2 in cell type: CD14_Monocyte,7,0,0
AC004943.2_CD14_Monocyte,numeric,Expression level of gene AC004943.2 in cell type: CD14_Monocyte,17,0,0
AC004951.1_CD14_Monocyte,numeric,Expression level of gene AC004951.1 in cell type: CD14_Monocyte,32,0,0
AC004951.4_CD14_Monocyte,numeric,Expression level of gene AC004951.4 in cell type: CD14_Monocyte,24,0,0
AC004967.1_CD14_Monocyte,numeric,Expression level of gene AC004967.1 in cell type: CD14_Monocyte,52,0,0
AC004967.2_CD14_Monocyte,numeric,Expression level of gene AC004967.2 in cell type: CD14_Monocyte,79,0,0
AC004974.1_CD14_Monocyte,numeric,Expression level of gene AC004974.1 in cell type: CD14_Monocyte,24,0,0
AC004980.1_CD14_Monocyte,numeric,Expression level of gene AC004980.1 in cell type: CD14_Monocyte,39,0,0
AC004982.1_CD14_Monocyte,numeric,Expression level of gene AC004982.1 in cell type: CD14_Monocyte,7,0,0
AC004982.2_CD14_Monocyte,numeric,Expression level of gene AC004982.2 in cell type: CD14_Monocyte,10,0,0
AC004987.2_CD14_Monocyte,numeric,Expression level of gene AC004987.2 in cell type: CD14_Monocyte,7,0,0
AC004997.1_CD14_Monocyte,numeric,Expression level of gene AC004997.1 in cell type: CD14_Monocyte,28,0,0
AC005000.1_CD14_Monocyte,numeric,Expression level of gene AC005000.1 in cell type: CD14_Monocyte,5,0,0
AC005020.2_CD14_Monocyte,numeric,Expression level of gene AC005020.2 in cell type: CD14_Monocyte,16,0,0
AC005034.3_CD14_Monocyte,numeric,Expression level of gene AC005034.3 in cell type: CD14_Monocyte,7,0,0
AC005037.1_CD14_Monocyte,numeric,Expression level of gene AC005037.1 in cell type: CD14_Monocyte,14,0,0
AC005041.1_CD14_Monocyte,numeric,Expression level of gene AC005041.1 in cell type: CD14_Monocyte,7,0,0
AC005041.5_CD14_Monocyte,numeric,Expression level of gene AC005041.5 in cell type: CD14_Monocyte,32,0,0
AC005052.2_CD14_Monocyte,numeric,Expression level of gene AC005052.2 in cell type: CD14_Monocyte,2,0,0
AC005070.3_CD14_Monocyte,numeric,Expression level of gene AC005070.3 in cell type: CD14_Monocyte,20,0,0
AC005076.1_CD14_Monocyte,numeric,Expression level of gene AC005076.1 in cell type: CD14_Monocyte,21,0,0
AC005099.1_CD14_Monocyte,numeric,Expression level of gene AC005099.1 in cell type: CD14_Monocyte,7,0,0
