column,type,description,n_unique,n_missing,pct_missing,levels
Mean.ctx-rh-postcentral,numeric,Mean amyloid PET intensity in region: ctx-rh-postcentral,303,0,0,
Mean.ctx-rh-posteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-rh-posteriorcingulate,303,0,0,
Mean.ctx-rh-precentral,numeric,Mean amyloid PET intensity in region: ctx-rh-precentral,303,0,0,
Mean.ctx-rh-precuneus,numeric,Mean amyloid PET intensity in region: ctx-rh-precuneus,303,0,0,
Mean.ctx-rh-rostralanteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-rh-rostralanteriorcingulate,303,0,0,
Mean.ctx-rh-rostralmiddlefrontal,numeric,Mean amyloid PET intensity in region: ctx-rh-rostralmiddlefrontal,303,0,0,
Mean.ctx-rh-superiorfrontal,numeric,Mean amyloid PET intensity in region: ctx-rh-superiorfrontal,303,0,0,
Mean.ctx-rh-superiorparietal,numeric,Mean amyloid PET intensity in region: ctx-rh-superiorparietal,303,0,0,
Mean.ctx-rh-superiortemporal,numeric,Mean amyloid PET intensity in region: ctx-rh-superiortemporal,303,0,0,
Mean.ctx-rh-supramarginal,numeric,Mean amyloid PET intensity in region: ctx-rh-supramarginal,303,0,0,
Mean.ctx-rh-temporalpole,numeric,Mean amyloid PET intensity in region: ctx-rh-temporalpole,303,0,0,
Mean.ctx-rh-transversetemporal,numeric,Mean amyloid PET intensity in region: ctx-rh-transversetemporal,303,0,0,
Mean.ctx-rh-unknown,numeric,Mean amyloid PET intensity in region: ctx-rh-unknown,1,302,99.67,
Mean.non-WM-hypointensities,numeric,Mean amyloid PET intensity in region: non-WM-hypointensities,18,285,94.06,
Volume_mm3.3rd-Ventricle,numeric,Volume (mm³) of region: 3rd-Ventricle,242,0,0,
Volume_mm3.4th-Ventricle,numeric,Volume (mm³) of region: 4th-Ventricle,230,0,0,
Volume_mm3.5th-Ventricle,logical,Volume (mm³) of region: 5th-Ventricle,0,303,100,
Volume_mm3.Brain-Stem,numeric,Volume (mm³) of region: Brain-Stem,283,0,0,
Volume_mm3.CC_Anterior,numeric,Volume (mm³) of region: CC_Anterior,154,0,0,
Volume_mm3.CC_Central,numeric,Volume (mm³) of region: CC_Central,113,0,0,
Volume_mm3.CC_Mid_Anterior,numeric,Volume (mm³) of region: CC_Mid_Anterior,116,0,0,
Volume_mm3.CC_Mid_Posterior,numeric,Volume (mm³) of region: CC_Mid_Posterior,109,0,0,
Volume_mm3.CC_Posterior,numeric,Volume (mm³) of region: CC_Posterior,160,0,0,
Volume_mm3.CSF,numeric,Volume (mm³) of region: CSF,206,0,0,
Volume_mm3.Left-Accumbens-area,numeric,Volume (mm³) of region: Left-Accumbens-area,118,0,0,
Volume_mm3.Left-Amygdala,numeric,Volume (mm³) of region: Left-Amygdala,177,0,0,
Volume_mm3.Left-Caudate,numeric,Volume (mm³) of region: Left-Caudate,236,0,0,
Volume_mm3.Left-Cerebellum-Cortex,numeric,Volume (mm³) of region: Left-Cerebellum-Cortex,294,0,0,
Volume_mm3.Left-Cerebellum-White-Matter,numeric,Volume (mm³) of region: Left-Cerebellum-White-Matter,278,0,0,
Volume_mm3.Left-Cerebral-White-Matter,numeric,Volume (mm³) of region: Left-Cerebral-White-Matter,303,0,0,
Volume_mm3.Left-Hippocampus,numeric,Volume (mm³) of region: Left-Hippocampus,236,0,0,
Volume_mm3.Left-Inf-Lat-Vent,numeric,Volume (mm³) of region: Left-Inf-Lat-Vent,227,0,0,
Volume_mm3.Left-Lateral-Ventricle,numeric,Volume (mm³) of region: Left-Lateral-Ventricle,296,0,0,
Volume_mm3.Left-Pallidum,numeric,Volume (mm³) of region: Left-Pallidum,180,0,0,
Volume_mm3.Left-Putamen,numeric,Volume (mm³) of region: Left-Putamen,241,0,0,
Volume_mm3.Left-Thalamus,numeric,Volume (mm³) of region: Left-Thalamus,251,0,0,
Volume_mm3.Left-VentralDC,numeric,Volume (mm³) of region: Left-VentralDC,213,0,0,
Volume_mm3.Left-choroid-plexus,numeric,Volume (mm³) of region: Left-choroid-plexus,166,0,0,
