column,type,description,n_unique,n_missing,pct_missing,levels
Mean.ctx-rh-superiortemporal,numeric,Mean tau PET intensity in region: ctx-rh-superiortemporal,226,0,0,
Mean.ctx-rh-supramarginal,numeric,Mean tau PET intensity in region: ctx-rh-supramarginal,226,0,0,
Mean.ctx-rh-temporalpole,numeric,Mean tau PET intensity in region: ctx-rh-temporalpole,226,0,0,
Mean.ctx-rh-transversetemporal,numeric,Mean tau PET intensity in region: ctx-rh-transversetemporal,226,0,0,
Mean.non-WM-hypointensities,numeric,Mean tau PET intensity in region: non-WM-hypointensities,21,205,90.71,
Volume_mm3.3rd-Ventricle,numeric,Volume (mm³) of region: 3rd-Ventricle,188,0,0,
Volume_mm3.4th-Ventricle,numeric,Volume (mm³) of region: 4th-Ventricle,180,0,0,
Volume_mm3.5th-Ventricle,numeric,Volume (mm³) of region: 5th-Ventricle,1,224,99.12,
Volume_mm3.Brain-Stem,numeric,Volume (mm³) of region: Brain-Stem,217,0,0,
Volume_mm3.CC_Anterior,numeric,Volume (mm³) of region: CC_Anterior,129,0,0,
Volume_mm3.CC_Central,numeric,Volume (mm³) of region: CC_Central,102,0,0,
Volume_mm3.CC_Mid_Anterior,numeric,Volume (mm³) of region: CC_Mid_Anterior,97,0,0,
Volume_mm3.CC_Mid_Posterior,numeric,Volume (mm³) of region: CC_Mid_Posterior,98,0,0,
Volume_mm3.CC_Posterior,numeric,Volume (mm³) of region: CC_Posterior,140,0,0,
Volume_mm3.CSF,numeric,Volume (mm³) of region: CSF,163,0,0,
Volume_mm3.Cerebellum_Inf,logical,Volume (mm³) of region: Cerebellum_Inf,0,226,100,
Volume_mm3.Left-Accumbens-area,numeric,Volume (mm³) of region: Left-Accumbens-area,88,0,0,
Volume_mm3.Left-Amygdala,numeric,Volume (mm³) of region: Left-Amygdala,156,0,0,
Volume_mm3.Left-Caudate,numeric,Volume (mm³) of region: Left-Caudate,169,0,0,
Volume_mm3.Left-Cerebellum-Cortex,numeric,Volume (mm³) of region: Left-Cerebellum-Cortex,223,0,0,
Volume_mm3.Left-Cerebellum-White-Matter,numeric,Volume (mm³) of region: Left-Cerebellum-White-Matter,214,0,0,
Volume_mm3.Left-Cerebral-White-Matter,numeric,Volume (mm³) of region: Left-Cerebral-White-Matter,223,0,0,
Volume_mm3.Left-Hippocampus,numeric,Volume (mm³) of region: Left-Hippocampus,178,0,0,
Volume_mm3.Left-Inf-Lat-Vent,numeric,Volume (mm³) of region: Left-Inf-Lat-Vent,184,0,0,
Volume_mm3.Left-Lateral-Ventricle,numeric,Volume (mm³) of region: Left-Lateral-Ventricle,224,0,0,
Volume_mm3.Left-Pallidum,numeric,Volume (mm³) of region: Left-Pallidum,151,0,0,
Volume_mm3.Left-Putamen,numeric,Volume (mm³) of region: Left-Putamen,182,0,0,
Volume_mm3.Left-Thalamus,numeric,Volume (mm³) of region: Left-Thalamus,196,0,0,
Volume_mm3.Left-VentralDC,numeric,Volume (mm³) of region: Left-VentralDC,162,0,0,
Volume_mm3.Left-choroid-plexus,numeric,Volume (mm³) of region: Left-choroid-plexus,141,0,0,
Volume_mm3.Left-undetermined,numeric,Volume (mm³) of region: Left-undetermined,1,225,99.56,
Volume_mm3.Left-vessel,numeric,Volume (mm³) of region: Left-vessel,30,23,10.18,
Volume_mm3.Optic-Chiasm,numeric,Volume (mm³) of region: Optic-Chiasm,60,0,0,
Volume_mm3.Right-Accumbens-area,numeric,Volume (mm³) of region: Right-Accumbens-area,91,0,0,
Volume_mm3.Right-Amygdala,numeric,Volume (mm³) of region: Right-Amygdala,164,0,0,
Volume_mm3.Right-Caudate,numeric,Volume (mm³) of region: Right-Caudate,191,0,0,
Volume_mm3.Right-Cerebellum-Cortex,numeric,Volume (mm³) of region: Right-Cerebellum-Cortex,222,0,0,
Volume_mm3.Right-Cerebellum-White-Matter,numeric,Volume (mm³) of region: Right-Cerebellum-White-Matter,214,0,0,
Volume_mm3.Right-Cerebral-White-Matter,numeric,Volume (mm³) of region: Right-Cerebral-White-Matter,226,0,0,
Volume_mm3.Right-Hippocampus,numeric,Volume (mm³) of region: Right-Hippocampus,183,0,0,
Volume_mm3.Right-Inf-Lat-Vent,numeric,Volume (mm³) of region: Right-Inf-Lat-Vent,182,0,0,
Volume_mm3.Right-Lateral-Ventricle,numeric,Volume (mm³) of region: Right-Lateral-Ventricle,223,0,0,
Volume_mm3.Right-Pallidum,numeric,Volume (mm³) of region: Right-Pallidum,163,0,0,
Volume_mm3.Right-Putamen,numeric,Volume (mm³) of region: Right-Putamen,193,0,0,
Volume_mm3.Right-Thalamus,numeric,Volume (mm³) of region: Right-Thalamus,197,0,0,
Volume_mm3.Right-VentralDC,numeric,Volume (mm³) of region: Right-VentralDC,169,0,0,
Volume_mm3.Right-choroid-plexus,numeric,Volume (mm³) of region: Right-choroid-plexus,138,0,0,
Volume_mm3.Right-vessel,numeric,Volume (mm³) of region: Right-vessel,36,37,16.37,
Volume_mm3.Unknown,numeric,Volume (mm³) of region: Unknown,225,0,0,
Volume_mm3.WM-hypointensities,numeric,Volume (mm³) of region: WM-hypointensities,215,0,0,
Volume_mm3.ctx-lh-bankssts,numeric,Volume (mm³) of region: ctx-lh-bankssts,174,0,0,
Volume_mm3.ctx-lh-caudalanteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-caudalanteriorcingulate,171,0,0,
Volume_mm3.ctx-lh-caudalmiddlefrontal,numeric,Volume (mm³) of region: ctx-lh-caudalmiddlefrontal,198,0,0,
Volume_mm3.ctx-lh-cuneus,numeric,Volume (mm³) of region: ctx-lh-cuneus,187,0,0,
Volume_mm3.ctx-lh-entorhinal,numeric,Volume (mm³) of region: ctx-lh-entorhinal,174,0,0,
Volume_mm3.ctx-lh-frontalpole,numeric,Volume (mm³) of region: ctx-lh-frontalpole,130,0,0,
Volume_mm3.ctx-lh-fusiform,numeric,Volume (mm³) of region: ctx-lh-fusiform,206,0,0,
Volume_mm3.ctx-lh-inferiorparietal,numeric,Volume (mm³) of region: ctx-lh-inferiorparietal,213,0,0,
Volume_mm3.ctx-lh-inferiortemporal,numeric,Volume (mm³) of region: ctx-lh-inferiortemporal,216,0,0,
Volume_mm3.ctx-lh-insula,numeric,Volume (mm³) of region: ctx-lh-insula,189,0,0,
Volume_mm3.ctx-lh-isthmuscingulate,numeric,Volume (mm³) of region: ctx-lh-isthmuscingulate,172,0,0,
Volume_mm3.ctx-lh-lateraloccipital,numeric,Volume (mm³) of region: ctx-lh-lateraloccipital,219,0,0,
Volume_mm3.ctx-lh-lateralorbitofrontal,numeric,Volume (mm³) of region: ctx-lh-lateralorbitofrontal,196,0,0,
Volume_mm3.ctx-lh-lingual,numeric,Volume (mm³) of region: ctx-lh-lingual,207,0,0,
Volume_mm3.ctx-lh-medialorbitofrontal,numeric,Volume (mm³) of region: ctx-lh-medialorbitofrontal,183,0,0,
